name,class,z,u-r,x_c,y_c,ns,r_s,q,phi,psi_11,psi_12,psi_22,psi_111,psi_112,psi_122,psi_222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis,T,T_err,F
PGC0002522,early,0.01825,2.62209,-0.576636223,-1.1094493,3.442670952,0.019335397,1.32360159,0.248487378,0,0,0,0.000127334,-3.50E-05,-0.00036852,-1.96E-05,1.825607955,-0.000120593,-2.73E-05,18.61737954,-9.264503071,1.825016516,-2.894681089,8.014797837,7.16E-06,-2.23E-05,0,0,0.722653845,2.251868061,3.772202062,19.81207225,-6,0,0.000123649
PGC0002600,spiral,0.01485,2.06381,-1.014165749,-0.379917771,0.989612953,15.16063628,1.150807171,-0.322553068,0,0,0,0.000111533,0.000695671,0.00178662,-0.001231128,7.572568756,0.000949076,-0.000267729,34.77777851,959.2696839,-143.0561461,281.9669512,-165.1786775,0.000924219,-0.000134974,0,0,1.483348391,2.150772249,1.026941299,0.110733883,4,2,0.000986116
PGC0002615,spiral,0.018,1.73518,-0.071807819,1.094681834,1.437248632,2.9061074,2.201894162,0.307415765,0,0,0,-0.003315237,-0.000951061,-0.001325528,0.001826085,1.852871554,-0.002320383,0.000437512,25.18258691,-559.1134593,-81.80819724,-49.12632845,-6.674895984,-0.000369043,0.003594839,0,0,0.651059703,1.52471746,2.043283601,2.752700746,6,1,0.002361269
PGC0002889,spiral,0.01746,2.74064,0.018118778,-0.07369147,0.730844196,3.77635147,8.940633489,0.91141137,0,0,0,0.01784507,-0.013545584,0.01089334,-0.009397011,3.452151186,0.014369205,-0.011471298,33.46620343,1260.731011,1601.836111,2082.893071,2767.975454,0.001524957,-0.000355504,0,1,0.408879638,1.082427557,2.562510314,6.010975264,5,2,0.018386537
PGC0003312,early,0.04426,3.01913,-2.631258494,0.007046303,4.337925736,0.001440258,1.740717307,-1.408370724,0,0,0,0.004966432,-0.000560588,0.002365708,0.000134417,1.718898262,0.00366607,-0.000213085,17.86056118,187.7715712,-14.51097898,65.13339949,-668.4397461,0.000972725,-0.001432585,0,0,0.554457078,1.890533401,3.456291278,12.82636488,-3,0,0.003672257
PGC0003314,spiral,0.0398,2.30845,3.12846796,-0.248878101,1.731339004,2.3443584,1.180839225,0.935946746,0,0,0,-0.001099237,2.16E-05,-0.002059725,0.000134691,1.087221979,-0.001579481,7.81E-05,23.72597306,-824.012639,-86.35940737,-296.703288,-343.8858943,-0.001125621,-0.000235436,0,0,0.941615327,2.208018054,1.9342576,1.798175684,6,2,0.001581412
PGC0003377,spiral,0.01889,2.49772,-3.326048462,-0.425076326,0.803881223,17.33864829,1.112641903,0.479191101,0,0,0,0.000428683,-0.000265705,-0.001630252,0.001589591,7.217997848,-0.000600784,0.000661943,29.4498798,417.0274612,74.00853794,173.0811045,38.20426843,0.001003058,0.000583181,0,0,0.740439875,1.178715276,1.611471329,4.2682962,5,0,0.00089393
PGC0003817,early,0.0178,2.68989,0.432283052,-0.711568121,4.215771584,0.002859337,1.331924722,0.82098049,0,0,0,-0.000217193,0.000604719,0.000848686,0.000756038,1.039114208,0.000315746,0.000680379,23.25435579,13.57527987,20.46468178,-6.055973533,64.83261306,-0.000162248,3.40E-05,0,0,0.60253677,1.483009972,2.660386655,10.24821314,-4,0,0.000750074
PGC0003833,early,0.0171,2.81171,1.822571059,0.213932869,5.311433198,0.0001,1.205052423,-0.624102587,0,0,0,-0.000784506,-0.000283458,0.001029614,-0.002362676,3.481269558,0.000122554,-0.001323067,24.9519493,37.97239626,-47.97455523,21.54914111,-144.8014092,-0.000157173,-0.000150762,0,1,0.733591775,1.664267202,2.959003764,18.29090455,-2,0,0.001328731
PGC0003960,spiral,0.03827,2.31868,0.999999995,-2.000000006,1.635296976,3.231897915,2.008066548,0.206818354,0,0,0,-0.001067202,-0.000422467,4.46E-05,-0.001066379,6.120987981,-0.000511307,-0.000744423,32.65158729,-500.1503601,-146.5616083,-97.29842087,-54.93745949,-0.000123669,0.000519564,0,0,1.406224842,2.53898869,1.310119426,-0.085103099,4,1,0.000903106
PGC0003976,early,0.01788,2.62106,-0.580709758,3.053520516,3.862318875,0.005844599,1.187452667,-0.817455053,0,0,0,-0.000326246,2.14E-05,-3.79E-05,-0.000431949,1.112057203,-0.000182083,-0.00020526,18.22716373,-7.657085741,0.788934533,-7.773816696,5.613582298,-3.50E-05,-9.91E-05,0,0,0.66823299,2.111565045,3.963233139,24.55243524,-5,0,0.000274383
PGC0004363,early,0.01734,2.71761,0.487046835,0.419786323,5.073763852,0.0001,1.377938199,0.971863274,0,0,0,0.001254302,-0.000382252,0.000684656,-0.000831417,1.947372202,0.000969479,-0.000606835,16.48579676,25.16365479,3.603572159,7.896224806,-9.116466235,0.000340957,-7.40E-05,0,1,0.41961674,1.475150912,5.4494595,57.34632679,-3,0,0.001143738
PGC0004368,early,0.01876,2.73191,1.173619283,1.317465064,2.98963314,0.022541703,2.767930548,-1.253456886,0,0,0,-0.001848507,-0.000694372,0.000238649,-0.000807344,6.92119534,-0.000804929,-0.000750858,12.85220536,1.965411472,-1.942435971,2.834527537,-5.762740976,-0.000493113,-5.60E-05,0,0,0.20955626,1.142956983,8.792859197,126.9864124,-2,0,0.001100772
PGC0004376,early,0.01768,2.79545,1.833128797,-0.362661001,4.440692769,0.0008973,1.470158387,1.139884831,0,0,0,-0.000111264,0.000211975,8.28E-05,3.16E-05,2.055381707,-1.42E-05,0.000121773,17.76571935,-0.406298665,2.800547393,0.295213932,-2.014434575,-9.93E-05,2.83E-05,0,0,0.508581341,1.734285214,5.27715851,52.65133704,-3,0,0.000122604
PGC0004500,early,0.0449,2.91977,-1.139755773,-4.329265266,3.685151268,0.020086026,1.127374402,0.42784224,0,0,0,-0.000763547,-4.58E-05,-0.000603808,5.76E-05,0.866003765,-0.000683677,5.91E-06,28.84110327,-284.3016138,5.011050487,-47.43971956,40.26389003,-0.000312353,7.19E-05,0,0,1.284812691,2.436121795,1.552930677,1.417155705,-4,1,0.000683703
PGC0004540,spiral,0.005874,0.19133,22.92073116,-16.27512971,1.39983426,5.975558479,1.280434886,-0.188849227,0,0,0,0.001718006,-0.000270956,-0.001486859,0.000510333,3.377651116,0.000115574,0.000119689,32.85249406,-3278.478639,-223.561531,-743.6140751,1578.367123,-0.001258216,-0.000555099,0,0,0.732053881,1.062328495,1.328545426,2.198000011,6,0,0.000166381
