name,class,z,u-r,x_c,y_c,ns,r_s,q,phi,psi_11,psi_12,psi_22,psi_111,psi_112,psi_122,psi_222,rchi2,F1_fit,F2_fit,a,Q111,Q112,Q122,Q222,F1_HOLICs,F2_HOLICs,mask_flag,checkFit_flag,noisemap_masked_mean,noisemap_masked_stdv,noisemap_masked_skew,noisemap_masked_kurtosis
COSMOS_2363,spiral,0.66,1.23,-1.408132913,-2.524231506,0.843754275,2.822082478,2.148961355,1.144900066,0,0,0,-0.002808082,0.00315716,0.009671594,0.008969624,0.358058355,0.003431756,0.006063392,9.116052431,37.26537264,24.83499921,48.12720761,56.90182984,0.005936591,0.000675203,0,1,0.000280573,0.001033085,3.42587498,9.800253782
COSMOS_2327,spiral,2.22,1.15,-2.002299906,-1.764255456,1.168264803,1.707226875,1.35111636,0.023614297,0,0,0,-0.012527782,0.020377851,-0.006317607,-0.001734026,0.327482887,-0.009422695,0.009321913,7.451093012,-12.45225453,26.73844988,-3.276293134,-9.944671579,-0.002263116,0.000702108,0,1,0.000174196,0.000764423,4.183562863,15.6098612
COSMOS_2566,spiral,1.44,1.12,-0.187585827,-1.880160971,0.680085924,4.240154322,1.955211903,1.692147925,0,0,0,-0.01373097,-0.000701669,0.004069075,0.00829761,0.333180113,-0.004830948,0.00379797,13.11309768,-195.4782496,113.683907,426.5713818,1736.182103,-0.015594358,0.008041155,0,0,0.000660114,0.001744503,2.341735821,3.773100148
COSMOS_2734,early,1.224,2.25,-1.439558861,-1.895806845,2.149596372,0.415570772,1.202926737,-1.607766398,0,0,0,0.005233444,-0.001766663,0.000724116,-0.008081014,0.456189719,0.00297878,-0.004923838,11.60520387,-9.273873335,-16.15920603,-3.585574156,-23.1172628,-0.000354533,-0.000825715,0,0,0.000302074,0.000920617,2.728512865,5.476606578
COSMOS_2935,spiral,0.83,1.59,-2.601608026,-2.797250165,0.674702191,4.330736156,3.206487584,0.961726693,0,0,0,0.005252281,0.003893241,-0.003732466,0.004113257,0.472913274,0.000759907,0.004003249,14.29717356,118.9963806,110.2696481,73.05342943,-71.81555266,0.001909297,-0.000735836,0,0,0.000533269,0.001270532,1.984735439,2.006042066
COSMOS_2929,spiral,0.208,1.33,-2.778201884,-1.625586287,0.917671356,2.960248121,1.156846232,-0.144866747,0,0,0,0.011814969,0.003158504,0.002746288,0.019227365,0.416441252,0.007280629,0.011192935,7.664941753,-3.047918576,-20.44706736,14.65418997,-11.35537441,-5.12E-05,-0.002583377,0,0,0.000172483,0.000760408,4.200114135,15.72990959
COSMOS_3319,spiral,0.63,2.13,-1.013478742,-1.618564736,2.02276376,0.645462433,1.232080621,0.266569328,0,0,0,0.003814906,0.004026755,-0.003002713,-0.001077418,0.35756518,0.000406096,0.001474669,12.88001185,110.4295371,39.66980438,54.75750966,-22.32250889,0.003003079,0.000288482,0,0,0.000349916,0.001057038,2.713549243,5.44562293
COSMOS_2998,spiral,0.974,0.61,-2.619566618,-1.185505705,1.180822599,1.470560976,1.621838594,0.906690646,0,0,0,0.034703876,-0.006461137,-0.000319207,-0.011940926,0.43642552,0.017192335,-0.009201031,6.885335733,15.19614525,-4.917859464,-8.926176244,4.472046139,0.003583466,-0.000142367,0,1,0.000114757,0.000625879,5.296652742,26.20652276
COSMOS_3327,spiral,1.496,0.82,2.345090975,-0.607962153,1.181414186,1.83283532,1.1189053,2.375552762,0,0,0,-0.042727808,0.006365436,-0.012509107,-0.047062721,0.340390348,-0.027618457,-0.020348643,8.032907105,-110.3259352,21.13417071,-13.90444119,-98.81778657,-0.019408688,-0.005079721,0,1,0.000180608,0.000784181,4.137012343,15.24091619
COSMOS_3324,spiral,0.66,2.41,-1.2664439,-0.973496651,0.680171966,3.671656056,2.063724359,-0.532209878,0,0,0,-0.005046913,0.004733101,-0.000293379,0.005769977,0.376163731,-0.002670146,0.005251539,8.870310795,-32.43768551,34.57083895,-10.3129068,-8.208511661,-0.000177824,-0.00068302,0,0,0.000169927,0.000677536,3.745078387,12.063759
